word,pos
개원,명사
개월,명사
개의하다,동사
개인,명사
개인기,명사
개인기,명사
개인용,명사
개인위생,명사
개인적,명사
개인전,명사
개인정보,명사
개인주의,명사
개인화기,명사
개입,명사
개입되다,동사
개입하다,동사
개자식,명사
개장,명사
개장하다,동사
개점,명사
개점하다,동사
개정,명사
개정되다,동사
개정안,명사
개정판,명사
개정하다,동사
개조,명사
개조하다,동사
개종,명사
개종하다,동사
개죽음,명사
개중,명사
개진하다,동사
개집,명사
개찰구,명사
개척,명사
개척자,명사
개척하다,동사
개천,명사
개천절,명사
개체,명사
개체주의,명사
개최,명사
개최국,명사
개최되다,동사
개최일,명사
개최하다,동사
개축,명사
개칭하다,동사
개털,명사
개통,명사
개통되다,동사
개통하다,동사
개판,명사
개펄,명사
개편,명사
개편되다,동사
개편안,명사
개편하다,동사
개폐,명사
개폐되다,동사
개폐하다,동사
개표,명사
개표하다,동사
개학,명사
개학식,명사
개항,명사
개항되다,동사
개항하다,동사
개헌,명사
개헌안,명사
개혁,명사
개혁되다,동사
개혁안,명사
개혁파,명사
개혁하다,동사
개화,명사
개회,명사
객관성,명사
객관식,명사
객관적,명사
객석,명사
객식구,명사
객실,명사
객지,명사
객체,명사
객혈,명사
객혈하다,동사
갤러리,명사
갯바위,명사
갯벌,명사
갱년기,명사
갱도,명사
갱생,명사
갱신,명사
갱신하다,동사
갸름하다,형용사
갸우뚱,부사
갸우뚱갸우뚱,부사
갸우뚱거리다,동사
갸우뚱하다,동사
걔,명사
거,대명사
거관,명사
거구,명사
거금,명사
거기,대명사
거꾸러지다,동사
거꾸로,부사
거느리다,동사
거닐다,동사
거대,명사
거대하다,형용사
거덜,명사
거동,명사
거두다,동사
거두어들이다,동사
거두절미,명사
거둬들이다,동사
거드름,명사
거들,명사
거들다,동사
거들떠보다,동사
거들떠보다,동사
거들뜨다,동사
거들먹거리다,동사
거듭,부사
거듭나다,동사
거듭되다,동사
거듭하다,동사
거뜬하다,형용사
거뜬히,부사
거란,명사
거란족,명사
거래,명사
거래되다,동사
거래량,명사
거래소,명사
거래액,명사
거래처,명사
거래하다,동사
거론,명사
거론되다,동사
거론하다,동사
거룩하다,형용사
거룻배,명사
거르다,동사
거리,명사
거리감,명사
거리계,명사
거리끼다,동사
거리낌,명사
거만하다,형용사
거머리,명사
거머쥐다,동사
거명되다,동사
거무데데하다,형용사
거무튀튀하다,형용사
거문고,명사
거물,명사
거미,명사
거미줄,명사
거미줄,명사
거봐,감탄사
거부,명사
거부감,명사
거부권,명사
거부되다,동사
거부반응,명사
거부하다,동사
거북,명사
거북선,명사
거북선,명사
거북이,명사
거북하다,형용사
거석,명사
거석문화,명사
거성,명사
거세,명사
거세다,형용사
거센소리,명사
거소,명사
거수경례,명사
거수기,명사
거스르다,동사
거스름돈,명사
거슬리다,동사
거시,관형사
거시기,대명사
거시적,명사
거식증,명사
거실,명사
거액,명사
거역하다,동사
거울,명사
거위,명사
거의,명사
거의,부사
거인,명사
거장,명사
거저,부사
거적,명사
거절,명사
거절되다,동사
거절하다,동사
거점,명사
거제도,명사
거주,명사
거주자,명사
거주지,명사
거주하다,동사
거죽,명사
거즈,명사
거지,명사
거짓,명사
거짓말,명사
거짓말쟁이,명사
거짓말탐지기,명사
거짓말하다,동사
거참,감탄사
거창하다,형용사
거처,명사
거추장스럽다,형용사
거취,명사
거치,명사
거치다,동사
거치대,명사
거치하다,동사
거칠다,형용사
거침없다,형용사
거침없이,부사
거푸,부사
거푸집,명사
거품,명사
거품기,명사
거함,명사
거행,명사
거행되다,동사
거행하다,동사
걱정,명사
걱정거리,명사
걱정되다,동사
걱정스럽다,형용사
걱정하다,동사
건,명사
건강,명사
건강보험,명사
건강식,명사
건강식품,명사
건강하다,형용사
건강히,부사
건곤일척,명사
건국,명사
건국대,명사
건국대학교,명사
건너,명사
건너가다,동사
건너다,동사
건너뛰다,동사
건너오다,동사
건너편,명사
건넌방,명사
건널목,명사
건넛집,명사
건네다,동사
건네받다,동사
건네주다,동사
건더기,명사
건드리다,동사
건들다,동사
건립,명사
건립되다,동사
건립하다,동사
건망증,명사
건물,명사
건물주,명사
건반,명사
건방,명사
건방지다,형용사
건배,명사
건배하다,동사
건빵,명사
건사,명사
건사하다,동사
건설,명사
건설되다,동사
건설사,명사
건설업,명사
건설업체,명사
건설하다,동사
건성,명사
건성건성,부사
건수,명사
건실하다,형용사
건어물,명사
건의,명사
건의하다,동사
건장하다,형용사
건재하다,형용사
건전성,명사
건전지,명사
건전하다,형용사
건조,명사
건조대,명사
건조물,명사
건조하다,형용사
건지다,동사
건초,명사
건축,명사
건축가,명사
건축공학,명사
건축물,명사
건축비,명사
건축학,명사
건투,명사
건포도,명사
걷기,명사
걷다,동사
걷다,동사
걷어붙이다,동사
걷어차다,동사
걷잡다,동사
걷히다,동사
걸다,동사
걸레,명사
걸레질,명사
걸레짝,명사
걸려들다,동사
걸리다,동사
걸리적거리다,형용사
걸림돌,명사
걸맞다,형용사
걸상,명사
걸신,명사
걸신들리다,동사
걸어가다,동사
걸어오다,동사
걸음,명사
걸음걸이,명사
걸음마,명사
걸인,명사
걸작,명사
걸쭉하다,형용사
걸치다,동사
걸터앉다,동사
걸핏하면,부사
검거,명사
검거되다,동사
검거하다,동사
검경,명사
검다,형용사
검도,명사
검둥개,명사
검둥이,명사
검류계,명사
검문,명사
검문소,명사
검문소,명사
검문하다,동사
검버섯,명사
검붉다,형용사
검사,명사
검사기,명사
검사소,명사
검사하다,동사
검산,명사
검색,명사
검색되다,동사
검색어,명사
검색엔진,명사
검색하다,동사
검소,명사
검소하다,형용사
검술,명사
검시,명사
검시관,명사
검역,명사
검역소,명사
검역소,명사
검열,명사
검열관,명사
검열하다,동사
검은돈,명사
검은색,명사
검은콩,명사
검정,명사
검정고시,명사
검정색,명사
검증,명사
검증되다,동사
검증하다,동사
검진,명사
검진하다,동사
검찰,명사
검찰청,명사
검찰총장,명사
검출,명사
검출되다,동사
검출하다,동사
검침,명사
검토,명사
검토되다,동사
검토하다,동사
검투사,명사
검푸르다,형용사
검푸르다,형용사
겁,명사
겁나다,동사
겁내다,동사
겁먹다,동사
겁쟁이,명사
겁주다,동사
것,명사
겉,명사
겉늙다,동사
겉돌다,동사
겉멋,명사
겉모습,명사
겉모양,명사
겉보기,명사
겉봉,명사
겉옷,명사
겉잡다,동사
겉치레,명사
게,명사
게걸스럽다,형용사
게걸스럽다,형용사
게걸스레,부사
게놈,명사
게다가,부사
게딱지,명사
게르마늄,명사
게르만,명사
게르만족,명사
게릴라,명사
게릴라전,명사
게살,명사
게스트,명사
게시,명사
게시물,명사
게시판,명사
게시하다,동사
게양,명사
게으르다,형용사
게으름뱅이,명사
게을리,부사
게을리하다,동사
게이,명사
게이지,명사
게이트,명사
게임,명사
게임기,명사
게임이론,명사
게자리,명사
게재,명사
게재되다,동사
게재하다,동사
겨냥,명사
겨냥하다,동사
겨누다,동사
겨드랑이,명사
겨레,명사
겨루다,동사
겨를,명사
겨우,부사
겨우내,부사
겨우살이,명사
겨울,명사
겨울날,명사
겨울밤,명사
겨울방학,명사
겨울옷,명사
겨울철,명사
겨자,명사
격,명사
격감하다,동사
격납고,명사
격노,명사
격노하다,동사
격돌,명사
격돌하다,동사
격동,명사
격동하다,동사
격려,명사
격려하다,동사
격렬하다,형용사
격론,명사
격리,명사
격리되다,동사
격리하다,동사
격무,명사
격물치지,명사
격발,명사
격벽,명사
격변,명사
격변기,명사
격변하다,동사
격분하다,동사
격상되다,동사
격상하다,동사
격세지감,명사
격식,명사
격심하다,형용사
격언,명사
격자,명사
격전,명사
격전지,명사
격차,명사
격추,명사
격추되다,동사
격추시키다,동사
격침,명사
격퇴,명사
격퇴되다,동사
격퇴하다,동사
격투,명사
격투기,명사
격파,명사
격파하다,동사
격하다,형용사
격화,명사
격화되다,동사
격화하다,동사
겪다,동사
견고하다,형용사
견과류,명사
견디다,동사
견마지로,명사
견문,명사
견문록,명사
견문발검,명사
견본,명사
견습,명사
견실하다,형용사
견우,명사
견우성,명사
견인,명사
견인하다,동사
견장,명사
견적,명사
견적서,명사
견제,명사
견제하다,동사
견주다,동사
견지,명사
견지하다,동사
견학,명사
견학하다,동사
견해,명사
결계,명사
결과,명사
결과론,명사
결과물,명사
결과적,명사
결국,명사
결근,명사
결단,명사
결단력,명사
결단성,명사
결단코,부사
결단하다,동사
결렬,명사
결렬되다,동사
결례,명사
결론,명사
결론적,명사
결론짓다,동사
결리다,동사
결막,명사
결막염,명사
결말,명사
결명자,명사
결방,명사
결백,명사
결백하다,형용사
결벽,명사
결벽증,명사
결별,명사
결별하다,동사
결사,명사
결사반대,명사
결사적,명사
결산,명사
결산하다,동사
결석,명사
결석자,명사
결석하다,동사
결선,명사
결성,명사
결성되다,동사
결성하다,동사
결속,명사
결속력,명사
결승,명사
결승골,명사
결승전,명사
결승점,명사
결실,명사
결심,명사
결심하다,동사
결여,명사
결여되다,동사
결의,명사
결의문,명사
결의안,명사
결의하다,동사
결자해지,명사
결장,명사
결장하다,동사
결재,명사
결전,명사
결절,명사
결점,명사
결정,명사
결정권,명사
결정권자,명사
결정되다,동사
결정력,명사
결정론,명사
결정문,명사
결정적,명사
결정전,명사
결정짓다,동사
결정체,명사
결정타,명사
결정판,명사
결정하다,동사
결제,명사
결제되다,동사
결제액,명사
결제하다,동사
결제하다,동사
결집,명사
결집하다,동사
결초보은,명사
결코,부사
결탁,명사
결탁하다,동사
결투,명사
결투하다,동사
결판,명사
결핍,명사
결핍증,명사
결함,명사
결합,명사
결합되다,동사
결합시키다,동사
결합하다,동사
결항,명사
결항되다,동사
결항하다,동사
결핵,명사
결혼,명사
결혼기념일,명사
결혼생활,명사
결혼식,명사
결혼하다,동사
겸,명사
겸비하다,동사
겸사겸사,부사
겸손,명사
겸손하다,형용사
겸영,명사
겸용,명사
겸하다,동사
겸허,명사
겸허하다,형용사
겸허히,부사
겹,명사
겹겹,명사
겹겹이,부사
겹경사,명사
겹다,형용사
겹모음,명사
겹문장,명사
겹자음,명사
겹치다,동사
경,명사
경감,명사
경감되다,동사
경감하다,동사
경건하다,형용사
경계,명사
경계선,명사
경계심,명사
경계하다,동사
경고,명사
경고음,명사
경고하다,동사
경공업,명사
경과,명사
경과하다,동사
경관,명사
경구,명사
경국지색,명사
경기,명사
경기도,명사
경기둔화,명사
경기력,명사
경기부양,명사
경기부양책,명사
경기불황,명사
경기장,명사
경기지사,명사
경기활성화,명사
경남,명사
경내,명사
경단,명사
경대,명사
경덕왕,명사
경도,명사
경동맥,명사
경락,명사
경량,명사
경력,명사
경력자,명사
경련,명사
경례,명사
경례하다,동사
경로,명사
경륜,명사
경리,명사
경마,명사
경마장,명사
경망스럽다,형용사
경매,명사
경매되다,동사
경매물,명사
경매하다,동사
경멸,명사
경멸하다,동사
경미하다,형용사
경박하다,형용사
경범죄,명사
경보,명사
경복궁,명사
경부,명사
경부선,명사
경북,명사
경비,명사
경비,명사
경비망,명사
경비병,명사
경비원,명사
경사,명사
경사스럽다,형용사
경사스럽다,형용사
경사지다,동사
경삿날,명사
경상남도,명사
경상도,명사
경상북도,명사
경상비,명사
경상수지,명사
경색,명사
경색되다,동사
